,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions
934,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2007-03-06,30479,93365,   -8904,  -60644,278491,  -49804,-62886
935,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2007-02-27,39383,154009,   -2903,   -4472,328295,   -3921,-114626
936,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2007-02-20,42286,158481,   -1181,  -52491,332216,  -29593,-116195
937,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2007-02-13,43467,210972,    2442,   41421,361809,   46889,-167505
938,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2007-02-06,41025,169551,   -1554,  -46033,314920,  -29150,-128526
939,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2007-01-30,42579,215584,   -9621,   -1476,344070,    -928,-173005
940,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2007-01-23,52200,217060,   -3831,   22883,344998,   36258,-164860
941,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2007-01-16,56031,194177,    1690,   16493,308740,   20741,-138146
942,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2007-01-09,54341,177684,    -478,    4273,287999,    7458,-123343
943,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2007-01-03,54819,173411,    -810,   12868,280541,   17777,-118592
944,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-12-26,55629,160543,    6679,   19074,262764,   23722,-104914
945,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-12-19,48950,141469,   -1672,   35287,239042,  -37877,-92519
946,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-12-12,50622,106182,  -11722,   20301,276919,    8783,-55560
947,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-12-05,62344,85881,    6311,  -12110,268136,   16029,-23537
948,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-11-28,56033,97991,    5385,  -33078,252107,   -6220,-41958
949,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-11-21,50648,131069,    2542,   27951,258327,   24754,-80421
950,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-11-14,48106,103118,       4,   -8496,233573,    4510,-55012
951,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-11-07,48102,111614,    1326,    5238,229063,    2456,-63512
952,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-10-31,46776,106376,   -3625,  -81315,226607,  -56391,-59600
953,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-10-24,50401,187691,   -2772,   21940,282998,   21423,-137290
954,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-10-17,53173,165751,    2578,   -8442,261575,   -6228,-112578
955,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-10-10,50595,174193,    3165,   22612,267803,   23984,-123598
956,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-10-03,47430,151581,    4912,   21705,243819,   22579,-104151
957,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-09-26,42518,129876,    7563,    4117,221240,   -3858,-87358
958,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-09-19,34955,125759,      13,   -8635,225098,  -50487,-90804
959,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-09-12,34942,134394,    2001,   31955,275585,   46793,-99452
960,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-09-05,32941,102439,    -979,  -19810,228792,  -15649,-69498
961,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-08-29,33920,122249,    3067,   16319,244441,   17246,-88329
962,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-08-22,30853,105930,    1207,   14010,227195,   10703,-75077
963,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-08-15,29646,91920,    4615,   15098,216492,   17922,-62274
964,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-08-08,25031,76822,    -360,    8447,198570,    2944,-51791
965,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-08-01,25391,68375,    -908,  -34810,195626,  -12882,-42984
966,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-07-25,26299,103185,   -1425,    6412,208508,    4941,-76886
967,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-07-18,27724,96773,      85,   48430,203567,   30097,-69049
968,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-07-11,27639,48343,    2309,    -896,173470,    4782,-20704
969,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-07-03,25330,49239,     140,  -11523,168688,   -5378,-23909
970,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-06-27,25190,60762,    1313,   13878,174066,   12776,-35572
971,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-06-20,23877,46884,  -15483,   -2073,161290,  -82223,-23007
972,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-06-13,39360,48957,   -7788,   22812,243513,   41670,-9597
973,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-06-06,47148,26145,   -8871,   -4133,201843,   -6669,21003
974,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-05-30,56019,30278,    6350,   -1062,208512,   -3437,25741
975,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-05-23,49669,31340,    2616,    3408,211949,    -437,18329
976,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-05-16,47053,27932,     284,       7,212386,    1841,19121
977,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-05-09,46769,27925,    2380,  -13775,210545,    4145,18844
978,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-05-02,44389,41700,    3392,   -5787,206400,    4985,2689
979,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-04-25,40997,47487,    2248,  -32403,201415,    -624,-6490
980,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-04-18,38749,79890,    2536,  -10794,202039,   -3591,-41141
981,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-04-11,36213,90684,    5610,   27365,205630,   15898,-54471
982,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-04-04,30603,63319,    3374,    5678,189732,    9631,-32716
983,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-03-28,27229,57641,    4114,    5170,180101,    4139,-30412
984,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-03-21,23115,52471,   -1699,  -17632,175962,  -13551,-29356
985,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-03-14,24814,70103,  -11924,   -8466,189513,  -59099,-45289
986,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-03-07,36738,78569,   -4849,   14161,248612,   46839,-41831
987,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-02-28,41587,64408,   14628,  -33735,201773,   -1692,-22821
988,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-02-21,26959,98143,    -601,   15526,203465,    7821,-71184
989,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-02-14,27560,82617,   -3659,   -4949,195644,   -2254,-55057
990,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-02-07,31219,87566,   -1068,   13534,197898,    9174,-56347
991,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-01-31,32287,74032,    2589,   25056,188724,   22124,-41745
992,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-01-24,29698,48976,    -364,     655,166600,   -1081,-19278
993,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-01-17,30062,48321,    -410,   -1680,167681,   -2205,-18259
994,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-01-10,30472,50001,    8280,    3072,169886,   14164,-19529
995,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-01-03,22192,46929,    5194,    7802,155722,    6777,-24737
996,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-12-27,16998,39127,    4676,     700,148945,    9442,-22129
997,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-12-20,12322,38427,   -9899,  -55857,139503, -104096,-26105
998,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-12-13,22221,94284,   -4491,   -4071,243599,   23286,-72063
999,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-12-06,26712,98355,    4086,   11729,220313,   13435,-71643
1000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-11-29,22626,86626,    1589,    -295,206878,    2062,-64000
1001,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-11-22,21037,86921,    -110,   -1457,204816,    1679,-65884
1002,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-11-15,21147,88378,    1719,    4322,203137,    5422,-67231
1003,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-11-08,19428,84056,    -434,   -2108,197715,    1912,-64628
1004,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-11-01,19862,86164,    -236,    -616,195803,     585,-66302
1005,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-10-25,20098,86780,    -116,     -75,195218,   -4460,-66682
1006,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-10-18,20214,86855,    1469,    2075,199678,   23517,-66641
1007,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-10-11,18745,84780,    2393,    5129,176161,    8182,-66035
1008,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-10-04,16352,79651,    2883,    7116,167979,   29408,-63299
1009,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-09-27,13469,72535,    1515,   12952,138571,   10721,-59066
1010,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-09-20,11954,59583,    1674,   14369,127850,  -61397,-47629
1011,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-09-13,10280,45214,    2263,    2825,189247,   13261,-34934
1012,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-09-06,8017,42389,      76,  -13217,175986,   -2259,-34372
1013,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-08-30,7941,55606,   -1417,   14882,178245,   11707,-47665
1014,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-08-23,9358,40724,   -3065,    1916,166538,    -385,-31366
1015,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-08-16,12423,38808,    -345,  -22620,166923,  -11071,-26385
1016,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-08-09,12768,61428,    3431,    8940,177994,   12713,-48660
1017,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-08-02,9337,52488,    1305,   -3312,165281,    4267,-43151
1018,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-07-26,8032,55800,   -1133,  -12421,161014,   -7683,-47768
1019,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-07-19,9165,68221,   -1665,   -5685,168697,    5738,-59056
1020,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-07-12,10830,73906,    -749,   10141,162959,    6442,-63076
1021,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-07-05,11579,63765,     735,    1076,156517,    8645,-52186
1022,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-06-28,10844,62689,    -284,   13587,147872,    8146,-51845
1023,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-06-21,11128,49102,    2137,  -11920,139726,   -4322,-37974
1024,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-06-14,8991,61022,    3696,   18616,144048,  -41940,-52031
1025,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-06-07,5295,42406,   -1172,  -12496,185988,    2395,-37111
1026,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-05-31,6467,54902,   -4162,    5442,183593,    -429,-48435
1027,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-05-24,10629,49460,   -1034,  -10086,184022,   -5010,-38831
1028,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-05-17,11663,59546,   -9108,   29212,189032,   28196,-47883
1029,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-05-10,20771,30334,   -1061,   -5629,160836,     651,-9563
1030,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-05-03,21832,35963,   10617,   -7754,160185,   21397,-14131
1031,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-04-26,11215,43717,    4288,  -17907,138788,   -4390,-32502
1032,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-04-19,6927,61624,   -5027,    5474,143178,    9950,-54697
1033,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-04-12,11954,56150,    2268,   10022,133228,    5822,-44196
1034,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-04-05,9686,46128,   -1347,    4906,127406,   13138,-36442
1035,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-03-29,11033,41222,   -4642,   13644,114268,    5403,-30189
1036,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-03-22,15675,27578,    1731,    8288,108865,    1431,-11903
1037,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-03-15,13944,19290,     594,   -3846,107434,  -63675,-5346
1038,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-03-08,13350,23136,     -72,    2591,171109,   17478,-9786
1039,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-03-01,13422,20545,    -656,  -19468,153631,    -453,-7123
1040,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-02-22,14078,40013,    1061,    3303,154084,    2097,-25935
1041,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-02-15,13017,36710,   -6781,    2622,151987,   -3565,-23693
1042,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-02-08,19798,34088,  -11416,    3273,155552,  -11573,-14290
1043,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-02-01,31214,30815,   -2394,   -1869,167125,    4943,399
1044,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-01-25,33608,32684,   -6264,     691,162182,   -8927,924
1045,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-01-18,39872,31993,    4664,   20530,171109,    9241,7879
1046,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-01-11,35208,11463,    1236,     211,161868,    5998,23745
1047,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2005-01-04,33972,11252,   -5268,    -235,155870,    5382,22720
1048,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-12-28,39240,11487,    5867,   -1310,150488,    4783,27753
1049,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-12-21,33373,12797,    -263,     562,145705,    -273,20576
1050,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-12-14,33636,12235,  -17159,   -1237,145978,  -75319,21401
1051,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-12-07,50795,13472,  -10481,   -8444,221297,   24337,37323
1052,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-11-30,61276,21916,    4578,   -1584,196960,    6588,39360
1053,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-11-23,56698,23500,   -1910,    9488,190372,    8471,33198
1054,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-11-16,58608,14012,    4851,    -652,181901,    7150,44596
1055,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-11-09,53757,14664,    6978,    4699,174751,   12389,39093
1056,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-11-02,46779,9965,    5388,   -3790,162362,   18743,36814
1057,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-10-26,41391,13755,   18507,    -564,143619,   12698,27636
1058,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-10-19,22884,14319,   10131,   -4821,130921,   13635,8565
1059,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-10-12,12753,19140,    1181,   -6928,117286,    5978,-6387
1060,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-10-05,11572,26068,    1295,   -6412,111308,   16772,-14496
1061,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-09-28,10277,32480,    2611,   15457,94536,   12492,-22203
1062,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-09-21,7666,17023,    -316,    4984,82044,    2772,-9357
1063,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-09-14,7982,12039,   -2865,     360,79272,  -27265,-4057
1064,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-09-07,10847,11679,   -1906,    -549,106537,   -2661,-832
1065,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-08-31,12753,12228,      -4,   -1498,109198,     638,525
1066,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-08-24,12757,13726,    1506,   -2730,108560,   -5397,-969
1067,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-08-17,11251,16456,     921,   -2156,113957,    3524,-5205
1068,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-08-10,10330,18612,   -1803,    3211,110433,   -3035,-8282
1069,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-08-03,12133,15401,    1525,    2392,113468,    6298,-3268
1070,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-07-27,10608,13009,   -1181,    3057,107170,   -2151,-2401
1071,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-07-20,11789,9952,    1220,    1549,109321,    2931,1837
1072,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-07-13,10569,8403,    3081,    3332,106390,    6878,2166
1073,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-07-06,7488,5071,   -5774,     225,99512,     608,2417
1074,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-06-29,13262,4846,     829,   -2092,98904,    5911,8416
1075,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-06-22,12433,6938,     756,   -2246,92993,    1826,5495
1076,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-06-15,11677,9184,    -582,   -2477,91167,  -34899,2493
1077,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-06-08,12259,11661,    3698,   -1739,126066,   10227,598
1078,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-06-01,8561,13400,     -95,   -7363,115839,    8242,-4839
1079,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-05-25,8656,20763,    -439,   -1014,107597,    1798,-12107
1080,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-05-18,9095,21777,     304,    2893,105799,   -2805,-12682
1081,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-05-11,8791,18884,   -3734,    9332,108604,    4743,-10093
1082,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-05-04,12525,9552,   -4715,   -7484,103861,   -1117,2973
1083,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-04-27,17240,17036,   -1457,   -7705,104978,     738,204
1084,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-04-20,18697,24741,  -28320,    2484,104240,  -31148,-6044
1085,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-04-12,47017,22257,    3811,    -561,135388,    2537,24760
1086,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-04-06,43206,22818,   16955,     876,132851,   25834,20388
1087,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-03-30,26251,21942,   14923,   -3987,107017,   20922,4309
1088,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-03-23,11328,25929,    4354,  -12484,86095,   -3381,-14601
1089,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-03-16,6974,38413,    -805,   -3882,89476,  -67450,-31439
1090,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-03-09,7779,42295,   -7940,    4264,156926,    3381,-34516
1091,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-03-02,15719,38031,    -483,    9648,153545,   11455,-22312
1092,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-02-24,16202,28383,  -45828,   21551,142090,  -17513,-12181
1093,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-02-17,62030,6832,   -2565,     867,159603,    -840,55198
1094,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-02-10,64595,5965,   -5604,     265,160443,   -9073,58630
1095,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-02-03,70199,5700,    6253,    -254,169516,    8803,64499
1096,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-01-27,63946,5954,    7145,     861,160713,    8387,57992
1097,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-01-20,56801,5093,   -8447,     447,152326,   -6907,51708
1098,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-01-13,65248,4646,    2495,   -1273,159233,    2978,60602
1099,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2004-01-06,62753,5919,   10902,    1732,156255,   17832,56834
1100,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-12-30,51851,4187,    -469,       2,138423,    7343,47664
1101,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-12-22,52320,4185,  -10101,       0,131080,   -8296,48135
1102,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-12-16,62421,4185,     -92,   -1592,139376,  -31137,58236
1103,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-12-09,62513,5777,    8774,   -1776,170513,   27913,56736
1104,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-12-02,53739,7553,    5966,    2320,142600,    9220,46186
1105,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-11-25,47773,5233,  -11905,    -683,133380,  -10088,42540
1106,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-11-18,59678,5916,   -3907,     128,143468,     105,53762
1107,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-11-11,63585,5788,    7406,     -47,143363,    7467,57797
1108,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-11-04,56179,5835,  -15283,  -10717,135896,  -16984,50344
1109,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-10-28,71462,16552,    1668,   -4938,152880,    1490,54910
1110,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-10-21,69794,21490,   -1885,  -10980,151390,   -2886,48304
1111,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-10-14,71679,32470,   -4759,    5757,154276,   -4733,39209
1112,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-10-07,76438,26713,    6781,   -2079,159009,   14578,49725
1113,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-09-30,69657,28792,    8137,   20820,144431,    8931,40865
1114,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-09-23,61520,7972,    1367,    2466,135500,    8839,53548
1115,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-09-16,60153,5506,     621,   -1181,126661,  -45127,54647
1116,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-09-09,59532,6687,    6068,     178,171788,    2204,52845
1117,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-09-02,53464,6509,   31316,   -2407,169584,   37846,46955
1118,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-08-26,22148,8916,    7591,  -14993,131738,   13694,13232
1119,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-08-19,14557,23909,    1617,    1029,118044,    2463,-9352
1120,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-08-12,12940,22880,    2804,  -23555,115581,   -9839,-9940
1121,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-08-05,10136,46435,   -8444,   34163,125420,   22168,-36299
1122,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-07-29,18580,12272,    2044,    2528,103252,    -909,6308
1123,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-07-22,16536,9744,   -7166,    1867,104161,   -9808,6792
1124,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-07-15,23702,7877,   10060,   -5657,113969,    9535,15825
1125,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-07-08,13642,13534,    4874,   -8631,104434,     250,108
1126,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-07-01,8768,22165,  -17129,   13404,104184,    5892,-13397
1127,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-06-24,25897,8761,    1434,   -4840,98292,    6376,17136
1128,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-06-17,24463,13601,    1628,    2522,91916,  -29505,10862
1129,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-06-10,22835,11079,    2902,   -1294,121421,   22908,11756
1130,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-06-03,19933,12373,  -16825,    5058,98513,  -11330,7560
1131,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-05-27,36758,7315,   -1126,    -799,109843,   -2121,29443
1132,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-05-20,37884,8114,    -604,    -912,111964,   -2170,29770
1133,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-05-13,38488,9026,   18635,   -8159,114134,   14210,29462
1134,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-05-06,19853,17185,   10212,   -2636,99924,   13578,2668
1135,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-04-29,9641,19821,   -4884,    1113,86346,    2387,-10180
1136,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-04-22,14525,18708,    4588,    -646,83959,    4707,-4183
1137,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-04-15,9937,19354,   -1094,    2689,79252,    4164,-9417
1138,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-04-08,11031,16665,   -1454,     277,75088,   -5048,-5634
1139,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-04-01,12485,16388,    1705,   -7375,80136,   -4321,-3903
1140,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-03-25,10780,23763,  -19609,   16692,84457,    1798,-12983
1141,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-03-18,30389,7071,  -12011,     890,82659,  -50439,23318
1142,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2003-03-11,42400,6181,    1678,   -2509,133098,   16477,36219
